id	Definition
PWN:billiards.n.01	any of several games played on rectangular cloth-covered table (with cushioned edges) in which long tapering cue sticks are used to propel ivory (or composition) balls
PWN:billy.n.02	A male goat.
PWN:birch.n.02	A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.
PWN:bird.n.01	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.
PWN:birth_certificate.n.01	Official document certifying the details of a person's birth. Name, date, and parents' names are always included; details such as parents' occupation and religion may be included.
PWN:birth.n.01	the time when something begins (especially life)
PWN:birth.n.02	the event of being born
PWN:bishop.n.01	a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
PWN:bishop.n.03	a piece in chess that can be moved diagonally over unoccupied squares of the same color
PWN:bishop.n.03	a chesspiece that can be moved diagonally over unoccupied squares of the same color
