id	Concepticon id	Definition
Emotion:smile.V	1451	To make an upwards movement of the sides of the mouth, that indicates happiness or satisfaction.
Emotion:sorrowful.A	145	Filled with grief, sorrow, woe.
Emotion:splendor.N	3964	The aesthetic and moral quality of being splendid, magnificent, or grand.
Emotion:stubborn.A	3634	Unyielding; unlikely to change one's mind and determined not to be influenced by someone else's opinion.
Emotion:surprise (feeling).N	3848	A feeling caused by something unexpected.
Emotion:surprise (somebody).V	3627	To make someone feel surprised by giving, telling or doing something unexpected.
Emotion:surprised.A	1572	Feeling that something unexpected has happened.
Emotion:tear (of eye).N	1651	A drop of liquid produced from the eyes by crying or irritation.
Emotion:trauma.N	3965	A physical wound and, in particular, a psychological state of pain, ensued from a harmful experience of set of events.
Emotion:triumph.N	3849	A feeling of extreme pleasure and excitement as a result of success or a victory.
Emotion:true.A	1657	Concurring with a given set of facts.
Emotion:truth.N	1638	That which conforms to reality.
Emotion:ugly.A	1548	Not good looking.
Emotion:unhappy.A	3974	Feeling not cheerful or glad, sometimes due to a misfortune.
Emotion:unpleasant.A	26	Not to one's liking.
Emotion:untruth.N	475	A false statement made with the intention to deceive.
Emotion:urge (someone).V	2881	To encourage someone to do something.
Emotion:violence.N	2976	Violence is defined by the World Health Organization as *the intentional use of physical force or power, threatened or actual, against oneself, another person, or against a group or community, which either results in or has a high likelihood of resulting in injury, death, psychological harm, maldevelopment, or deprivation*, although the group acknowledges that the inclusion of *the use of power* in its definition expands on the conventional understanding of the word.
Emotion:vulgar.A	1080	Rude and likely to offend, using allusions on the sexual level.
Emotion:want.V	1784	To want to do something or to wish for something to happen.
Emotion:worry.V	150	To be anxious about something.
Emotion:wrong.A	1390	Not correct.
Family:adult.N	3635	A fully grown and mature person.
Family:ancestors.N	1669	Person from whom a person is descended, whether on the father's or mother's side, at any number of generations.
Family:aunt or mother-in-law.N	2383	Either an aunt or the mother-in-law of a person.
Family:aunt or uncle.N	2682	The brother or mother of someone’s father or mother.
Family:aunt.N	1272	A woman with one or more siblings who have one or more children; a sister of someone's father or mother.
Family:baby.N	1289	A very young human being, from birth to a year old.
Family:bad person.N	2197	A person with an evil character.
Family:bastard.N	1947	A child born of parents not married to each other.
Family:black man.N	2806	Term used to describe men who are perceived to be dark-skinned.
Family:black woman.N	2807	Term used to describe women who are perceived to be dark-skinned.
Family:blind person.N	457	Person who has a complete lack of form and visual light perception.
Family:boy or son.N	2391	Either a son or a boy.
Family:boy.N	1366	A young male person, usually a child or teenager.
Family:brave person.N	2226	A person with a brave character.
Family:bride.N	1266	A woman who is going to get married or has just got married.
Family:brother (of man).N	559	The brother of a man.
Family:brother (of woman).N	560	The brother of a woman.
Family:brother-in-law (husband's older brother).N	2698	Husband of one's older brother.
Family:brother-in-law (husband's younger brother).N	2699	Husband of one's younger brother.
Family:brother-in-law (of man).N	2380	The brother of a man's partner in a marriage.
Family:brother-in-law (older sister's husband).N	2696	Husband of one's older sister.
Family:brother-in-law (younger sister's husband).N	2697	Husband of one's younger sister.
Family:brother-in-law.N	2314	The brother of one's partner in a marriage.
Family:brother.N	1262	A male person who has the same parents as another person.
Family:chatterer.N	2207	A person who talks a lot.
Family:child (descendant).N	1801	Biological offspring.
Family:child (young human).N	1304	A person below the age of puberty.
Family:child-in-law.N	1060	The spouse of someone's child.
Family:child.N	2099	A young human or the descendant of a human.
Family:co-wife.N	3636	Another female partner in a polygamous marriage.
Family:cousin or sister-in-law.N	2384	Either a cousin or a sister-in-law.
Family:cousin.N	1643	The child of the sibling of a parent of a person.
Family:cross-cousin.N	3162	The child of a parent’s opposite-sex sibling, for example the father’s sister’s son.
Family:daughter (of male ego).N	3778	A daughter, as referred to by her father.
Family:daughter (of woman).N	3930	Daughter of a mother
Family:daughter or girl.N	2392	Either a daughter or a girl.
Family:daughter-in-law (of man).N	2265	The daughter-in-law of a man.
Family:daughter-in-law (of woman).N	2264	The daughter-in-law of a woman.
Family:daughter-in-law.N	1057	The female marital partner of someone's child.
Family:daughter.N	1357	An animal's female offspring (including that of a human).
Family:deaf person.N	458	Person who is  partial or total unable to hear.
Family:descendants.N	490	One who is the progeny of someone at any distance of time.
Family:different-sex older sibling.N	3039	A person of the different sex who is born before another person who has the same parents.
Family:different-sex younger sibling.N	3040	A person of the different sex who is born after another person who has the same parents.
Family:divorce (separate).V	3672	To end one's marriage by a legal process.
Family:divorce.N	1134	Legal dissolution of a marriage.
Family:family.N	194	A group comprising parents, offsprings and others closely related or associated with them.
Family:father (of a man).N	3906	A male parent of a man.
Family:father (of a woman).N	3905	A male parent of a woman.
Family:father-in-law (of man).N	2255	The father-in-law of a man.
Family:father-in-law (of woman).N	2254	The father-in-law of a woman.
Family:father-in-law.N	1055	The father of someone's spouse.
Family:father.N	1217	A male parent.
Family:father's sister.N	170	The sister of one's father.
Family:female (of person).A	2260	Relating to the female sex of humans.
Family:female cousin.N	3823	The female child of the sibling of a parent of a person.
Family:female person or mother.N	2800	A human belonging to the female sex or a woman who has at least one child.
Family:female person.N	2105	A human belonging to the female sex.
Family:girl.N	1646	A young female person, usually a child or teenager.
Family:give birth.V	1195	To release an offspring from one's own body; to cause to be born.
Family:grandchild (daughter's offspring).N	2703	Offspring of one's daughter.
Family:grandchild (of female ego).N	3782	The child in the second generation in relation to a female individual.
Family:grandchild (son's offspring).N	3909	Offspring of one's son.
Family:grandchild.N	1617	A child of someone’s child.
Family:granddaughter.N	1619	A daughter of someone's child.
Family:grandfather or older brother.N	2644	Either the grandfather or the older brother of a person.
Family:grandfather.N	1383	The father of one of someone's parents.
Family:grandmother.N	1496	The mother of one of someone's parents.
Family:grandparent.N	2399	Either the grandfather or the grandmother.
Family:grandparents.N	305	The parents of someone's parent.
Family:grandson (son's son).N	2702	Son of one's son.
Family:grandson.N	1618	A son of someone's child.
Family:groom.N	3282	A man who is going to get married or has just married.
Family:guest or stranger.N	2908	Either a guest or a stranger.
Family:husband or male person.N	2646	Either the male partner in a marriage or a male person.
Family:husband.N	1200	The male partner in a marriage.
Family:male (of person).A	2261	Relating to the male sex of humans.
Family:male cousin.N	3822	The male child of the sibling of a parent of a person.
Family:male person.N	2106	A human belonging to the male sex.
Family:male.A	1553	Of, relating to, or denoting a member of the sex that begets young by fertilizing ova.
Family:man or person.N	2645	Either a man or a person (in general).
Family:man.N	1554	An adult human member of the sex that begets young by fertilizing ova.
Family:marriage or wedding.N	3182	The ceremony of marrying someone or the state of being married.
Family:marriage.N	2432	Marriage, also called matrimony or wedlock, is a socially or ritually recognized union or legal contract between spouses that establishes rights and obligations between them, between them and their children, and between them and their in-laws.
Family:married man.N	424	A married man.
Family:married woman.N	426	A married woman.
Family:marry (as man).V	2164	To enter marriage from the perspective of a man.
